stationId,latitude,longitude,products
KWIWAUNA38,43.197,-89.455,pws
KWIWAUNA3,43.20179,-89.45216,pws
KWIWAUNA35,43.20303,-89.44906,pws
KWIWAUNA58,43.21,-89.411,pws
KWIWINDS9,43.211,-89.339,pws
KWIDEFOR45,43.22655,-89.35278,pws
KWIDEFOR40,43.229,-89.34,pws
KWIWISCO12,43.22904,-89.3397,pws
KWIDEFOR41,43.229,-89.336,pws
KWIDEFOR17,43.20501,-89.31509,pws
KWIDEFOR22,43.201,-89.308,pws
KWIDEFOR44,43.234,-89.333,pws
KWISUNPR60,43.198,-89.277,pws
KWISUNPR58,43.189,-89.284,pws
KWISUNPR69,43.189,-89.284,pws
KWISUNPR80,43.189,-89.284,pws
KWISUNPR4,43.19251,-89.27387,pws
KWISUNPR45,43.20192,-89.24694,pws
KWISUNPR47,43.20025,-89.23166,pws
KWISUNPR56,43.202,-89.229,pws
KWISUNPR70,43.215,-89.234,pws
KWISUNPR83,43.213,-89.217,pws
KWISUNPR73,43.211,-89.222,pws
KWISUNPR75,43.211,-89.223,pws
KWISUNPR36,43.21152,-89.22296,pws
KWISUNPR37,43.21507,-89.21705,pws
KWISUNPR11,43.21962,-89.21721,pws
KWISUNPR10,43.25114,-89.13323,pws
KWICOLUM37,43.26206,-89.13094,pws
KWICOLUM30,43.267,-89.142,pws
KWICOLUM32,43.267,-89.142,pws
KWISAUKC15,43.276,-89.728,pws
KWISAUKC11,43.282,-89.726,pws
KWIPRAIR28,43.28589,-89.68565,pws
KWISAUKC12,43.291,-89.653,pws
KWILODI27,43.29151,-89.60183,pws
KWILODI28,43.308,-89.546,pws
KWIDEFOR47,43.24809,-89.37111,pws
KWIDEFOR2,43.24495,-89.3591,pws
KWIDEFOR31,43.245,-89.357,pws
KWIDEFOR32,43.238,-89.334,pws
KWIDEFOR30,43.241,-89.328,pws
KWIDEFOR33,43.252,-89.329,pws
KWIDEFOR14,43.25364,-89.31384,pws
KWISUNPR68,43.239,-89.245,pws
KWISUNPR81,43.23955,-89.2447,pws
KWISUNPR72,43.233,-89.234,pws
KWISUNPR53,43.243,-89.242,pws
KWISUNPR78,43.214,-89.223,pws
KWICOLUM42,43.268,-89.142,pws
KWIPRAIR35,43.31733,-89.7183,pws
KWILODI4,43.31918,-89.53994,pws
KWILODI24,43.33577,-89.55125,pws
KWILODI26,43.33597,-89.55112,pws
KWILODI12,43.31776,-89.46779,pws
KWILODI10,43.33123,-89.46024,pws
KWIARLIN7,43.296,-89.371,pws
KWIDEFOR29,43.266,-89.349,pws
KWICOLUM21,43.3144,-89.1089,pws
KWICOLUM40,43.341,-89.12,pws
KWIPRAIR39,43.323,-89.702,pws
KWIMERRI45,43.32875,-89.7102,pws
KWILODI6,43.36211,-89.56953,pws
KWILODI11,43.36669,-89.56773,pws
KWIARLIN10,43.32913,-89.42499,pws
KWIARLIN9,43.323,-89.396,pws
KWIARLIN2,43.33707,-89.37795,pws
KWIARLIN5,43.3097,-89.32593,pws
KWIDEFOR42,43.32783,-89.26842,pws
KWICOLUM2,43.31929,-89.02791,pws
KWICOLUM20,43.33427,-89.03146,pws
